State,Num Tweets,Num Red,Num Blue,Num Yellow,R Frac,Y Frac,B Frac,R Frac Err,Y Frac Err,B Frac Err,Average Rel Err
Pennsylvania,381,155,130,96,0.4068241469816273,0.25196850393700787,0.34120734908136485,0.03651918974709597,0.0303277814594953,0.03470080783897383,0.10394332234659731
Delaware,33,16,9,8,0.48484848484848486,0.24242424242424243,0.2727272727272727,0.09118237453186132,0.07731991917437378,0.08060675472003236,0.2675221382354582
Nebraska,76,31,25,20,0.40789473684210525,0.2631578947368421,0.32894736842105265,0.062264634419285966,0.05478921063142336,0.059118987584998235,0.18018983460492086
Michigan,426,164,152,110,0.38497652582159625,0.25821596244131456,0.3568075117370892,0.035079914517749014,0.029794343549898763,0.03428492480057143,0.10086519891521571
Idaho,41,17,16,8,0.4146341463414634,0.1951219512195122,0.3902439024390244,0.0815410518086844,0.0642256379512825,0.08067664049269661,0.24418270553185575
Montana,12,2,6,4,0.16666666666666666,0.3333333333333333,0.5,0.10866172563181552,0.13840886648256193,0.14699284185141653,0.4537275456471373
Alabama,109,44,34,31,0.4036697247706422,0.28440366972477066,0.3119266055045872,0.053856505393294146,0.048622938501758466,0.05024302938772538,0.15515167298972307
Puerto Rico,5,2,3,0,0.4,0.0,0.6,0.22117098572823696,0.0,0.22117098572823696,0.460772886933827
California,2274,927,819,528,0.4076517150395778,0.23218997361477572,0.36015831134564646,0.02851185089374395,0.02140585410261482,0.027404873439469082,0.07940800039640336
Tennessee,196,74,83,39,0.37755102040816324,0.1989795918367347,0.42346938775510207,0.043436545584515505,0.03341746319023103,0.0444946113583916,0.12935464470348698
Wisconsin,117,49,38,30,0.4188034188034188,0.2564102564102564,0.3247863247863248,0.052827794637058854,0.045450941106039706,0.0495924414959281,0.15203034124173984
Connecticut,122,40,60,22,0.32786885245901637,0.18032786885245902,0.4918032786885246,0.04926875542107631,0.03841592710403913,0.053057610861981186,0.15706243012130736
South Carolina,115,51,41,23,0.4434782608695652,0.2,0.3565217391304348,0.05378005382193986,0.04120731241437469,0.05150755046610406,0.15725923617829332
Illinois,416,150,155,111,0.3605769230769231,0.2668269230769231,0.37259615384615385,0.034561023601105835,0.030447850304700534,0.03491438185380986,0.10122193233478834
Nevada,179,70,66,43,0.39106145251396646,0.24022346368715083,0.3687150837988827,0.04491313316975068,0.03764753734636734,0.04426388272177386,0.13053904373110353
North Carolina,251,105,95,51,0.41832669322709165,0.20318725099601595,0.3784860557768924,0.041200652590796805,0.030953712929413336,0.04029875936097255,0.11910118857108815
New Hampshire,37,15,12,10,0.40540540540540543,0.2702702702702703,0.32432432432432434,0.0849135940092123,0.07613497615690952,0.0806438250642122,0.24660157920598103
South Dakota,19,8,5,6,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.11636587776689471,0.10926569086914291,0.10323453954579388,0.33822274368533695
Arkansas,50,25,14,11,0.5,0.22,0.28,0.07582555959569307,0.06158541198235829,0.0673908028626815,0.22408874960519284
Kansas,109,39,38,32,0.3577981651376147,0.29357798165137616,0.3486238532110092,0.0523426096625362,0.04915301256130536,0.05196925828548875,0.15426268233616555
Washington,329,137,112,80,0.41641337386018235,0.24316109422492402,0.3404255319148936,0.03807877084703123,0.031063640923288473,0.0360282800253647,0.1083423117836332
Hawaii,83,29,33,21,0.3493975903614458,0.25301204819277107,0.39759036144578314,0.058014306504905924,0.05199978989087501,0.0598012944437447,0.17399108054146953
Louisiana,118,52,42,24,0.4406779661016949,0.2033898305084746,0.3559322033898305,0.053215421005468284,0.04107993341234514,0.050973976868235564,0.15531567056598847
Iowa,99,36,36,27,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.05459732318602671,0.049729732153370676,0.05459732318602671,0.16087587625072422
Minnesota,164,66,62,36,0.4024390243902439,0.21951219512195122,0.3780487804878049,0.04661291529920957,0.03735120988318222,0.04596257863226479,0.13585332581571286
Kentucky,127,42,54,31,0.33070866141732286,0.2440944881889764,0.4251968503937008,0.048392368339253526,0.04314270581194007,0.05140776397111846,0.14799289098972573
Florida,741,271,288,182,0.3657219973009447,0.24561403508771928,0.38866396761133604,0.03108304709470945,0.02568896885833883,0.03167208080928101,0.09035711370411091
Ohio,543,209,202,132,0.3848987108655617,0.2430939226519337,0.3720073664825046,0.0333882051728508,0.0272573422108251,0.033055779361603525,0.0959100296720396
Vermont,9,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1589991785055259,0.1589991785055259,0.1589991785055259,0.4769975355165777
North Dakota,26,5,12,9,0.19230769230769232,0.34615384615384615,0.46153846153846156,0.07914516467756272,0.09670048792013854,0.10156613799166084,0.30365726235818236
Indiana,259,107,82,70,0.41312741312741313,0.2702702702702703,0.3166023166023166,0.04048640804440271,0.035048967511348415,0.0374466015585587,0.11531915031282862
Massachusetts,237,92,74,71,0.3881856540084388,0.29957805907172996,0.31223628691983124,0.040931502433063364,0.03758866521911004,0.03820374127027559,0.11775678609511603
New Jersey,330,117,130,83,0.35454545454545455,0.2515151515151515,0.3939393939393939,0.03645038837083834,0.031525175489981155,0.03755475956347264,0.10782705320923347
Texas,1355,573,494,288,0.4228782287822878,0.21254612546125462,0.36457564575645757,0.030123405688230655,0.02141175250105159,0.02889406756608641,0.08374250800579291
District of Columbia,50,19,22,9,0.38,0.18,0.44,0.07357521493877134,0.05667871033654876,0.07538842655979497,0.22661268128778597
Utah,105,42,35,28,0.4,0.26666666666666666,0.3333333333333333,0.054552699376564685,0.048167495820768375,0.05209262200177105,0.15776257459153542
Oklahoma,167,71,63,33,0.4251497005988024,0.19760479041916168,0.3772455089820359,0.046899250616159634,0.03535321315795556,0.045769116071836514,0.1368484963088406
Georgia,255,112,85,58,0.4392156862745098,0.22745098039215686,0.3333333333333333,0.04121355034676927,0.03255615602788641,0.03847938677609226,0.11746913563616786
Maine,25,13,8,4,0.52,0.16,0.32,0.1037067442523889,0.07480413944926845,0.09655005922039821,0.3228936177536272
Arizona,312,138,112,62,0.4423076923076923,0.1987179487179487,0.358974358974359,0.03920213779202506,0.028531363138386504,0.03741563638154115,0.11214579174912735
Missouri,153,66,56,31,0.43137254901960786,0.20261437908496732,0.3660130718954248,0.04838454466652216,0.0369889980295066,0.046767409290324656,0.14083267271482072
Virginia,301,123,113,65,0.40863787375415284,0.2159468438538206,0.3754152823920266,0.03894461819878524,0.030080734056009355,0.03815762201686382,0.1120805112093114
West Virginia,57,22,24,11,0.38596491228070173,0.19298245614035087,0.42105263157894735,0.06970655457169948,0.05497226375587125,0.07079612687787615,0.21120014103220033
New York,611,277,202,132,0.4533551554828151,0.2160392798690671,0.33060556464811786,0.03390198221597905,0.02494687731775783,0.031164395260474785,0.09483952321496807
Colorado,125,48,41,36,0.384,0.288,0.328,0.05060719497660263,0.04629604268627233,0.048446993564903444,0.14674798904709294
Maryland,215,95,65,55,0.4418604651162791,0.2558139534883721,0.3023255813953488,0.04329721923266556,0.036374052543784924,0.039046249874461855,0.12311030066875095
Mississippi,36,14,17,5,0.3888888888888889,0.1388888888888889,0.4722222222222222,0.08568804733644521,0.05910530360426047,0.0878623630619005,0.2773201179402844
New Mexico,36,10,18,8,0.2777777777777778,0.2222222222222222,0.5,0.07795343528969335,0.07188419924363944,0.08771230891843214,0.2598452938253793
Oregon,198,76,79,43,0.3838383838383838,0.21717171717171718,0.398989898989899,0.04337556018345464,0.03469327923856234,0.04376047307049778,0.12747778172718222
Alaska,37,17,13,7,0.4594594594594595,0.1891891891891892,0.35135135135135137,0.08643252361576328,0.06654588844379193,0.08255502704079297,0.2582749021503497
Wyoming,9,3,5,1,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.1592735208084728,0.10532228264745216,0.1679973472185155,0.5760387770819386
Rhode Island,37,18,8,11,0.4864864864864865,0.2972972972972973,0.21621621621621623,0.0866190320559889,0.0786945671945947,0.07021110731735304,0.2558255039128848
